arena,question_number,digits,target,level,equation,image_path
arena1,1,7598,36,Level2,\left(8\cdot5\right)-\left(7-\sqrt9\right)=36,bd838166-6ca9-4eba-8c44-20c8c1bc5876/e58b367b-7ce2-44fe-b338-30883a700f19/620639d2-a95d-4e1a-a7e9-996fe3c549b6.png
arena1,1,7598,36,Level2,\frac{\left(9\cdot8\right)}{\left(7-5\right)}=36,bd838166-6ca9-4eba-8c44-20c8c1bc5876/e58b367b-7ce2-44fe-b338-30883a700f19/784f208d-1fb0-400d-90e2-f524900fe22a.png
arena1,1,7598,36,Level2,\left(9\cdot5\right)-\left(7+8\right)=30,bd838166-6ca9-4eba-8c44-20c8c1bc5876/e58b367b-7ce2-44fe-b338-30883a700f19/0e653586-053e-4d31-bfce-286e043b7943.png
arena1,1,7598,36,Level2,\left(7\cdot5\right)+\left(9-8\right)=36,bd838166-6ca9-4eba-8c44-20c8c1bc5876/e58b367b-7ce2-44fe-b338-30883a700f19/cae7eef2-98de-442d-8a06-96c498321844.png
arena1,1,7598,36,Level2,9\cdot\left(7-\left(8-5\right)\right)=36,bd838166-6ca9-4eba-8c44-20c8c1bc5876/e58b367b-7ce2-44fe-b338-30883a700f19/b063d8e2-4f5a-4120-8cab-2364af216b67.png
arena1,1,7598,36,Level2,9\cdot\left(\frac{8}{\left(7-5\right)}\right)=36,bd838166-6ca9-4eba-8c44-20c8c1bc5876/e58b367b-7ce2-44fe-b338-30883a700f19/4ae378a9-30ee-4a81-a7d7-ce71cbc532c5.png
arena1,1,7598,36,Level2,\left(9\cdot7\right)+\left(8-5\right)=66,bd838166-6ca9-4eba-8c44-20c8c1bc5876/e58b367b-7ce2-44fe-b338-30883a700f19/8050ff61-2575-4cc6-b726-30ab603a2ef4.png
arena1,1,7598,36,Level2,9\cdot\left(5-\left(8-7\right)\right)=36,bd838166-6ca9-4eba-8c44-20c8c1bc5876/e58b367b-7ce2-44fe-b338-30883a700f19/dd8b74ab-cbc1-4902-8545-33dd5aad8873.png
arena1,1,7598,36,Level2,\left(\left(9+8\right)+7\right)+5=27,bd838166-6ca9-4eba-8c44-20c8c1bc5876/e58b367b-7ce2-44fe-b338-30883a700f19/e97bce07-1a0d-464d-943b-9a255c3f25c0.png
arena1,1,7598,36,Level2,\left(5-\left(8-7\right)\right)\cdot9=36,bd838166-6ca9-4eba-8c44-20c8c1bc5876/e58b367b-7ce2-44fe-b338-30883a700f19/e3643036-5217-4d12-98eb-2c16b20412dc.png
arena1,1,7598,36,Level2,9\cdot\left(5-\left(9-8\right)\right.=36,bd838166-6ca9-4eba-8c44-20c8c1bc5876/e58b367b-7ce2-44fe-b338-30883a700f19/a5e31e57-efc3-4ca2-9eee-205e0d8c1fd2.png
arena1,1,7598,36,Level2,\left(5\cdot8\right)-\left(9-7\right)=38,bd838166-6ca9-4eba-8c44-20c8c1bc5876/e58b367b-7ce2-44fe-b338-30883a700f19/c9bc613b-2087-4922-9656-b9b598128dfd.png
arena1,1,7598,36,Level2,9\cdot\left(5-\left(8-7\right)\right)=36,bd838166-6ca9-4eba-8c44-20c8c1bc5876/e58b367b-7ce2-44fe-b338-30883a700f19/7c222a78-497c-4811-a0f6-f3cc91264375.png
arena1,1,7598,36,Level2,,bd838166-6ca9-4eba-8c44-20c8c1bc5876/e58b367b-7ce2-44fe-b338-30883a700f19/dde038dd-bbc7-419e-ab91-e83bc8c944e2.png
arena1,1,7598,36,Level2,\left(9\cdot5\right)-\left(8+7\right)=30,bd838166-6ca9-4eba-8c44-20c8c1bc5876/e58b367b-7ce2-44fe-b338-30883a700f19/702c1946-d322-462b-b734-96347c3ec63e.png
arena1,1,7598,36,Level2,\left(7\cdot5\right)+\left(9-8\right)=36,bd838166-6ca9-4eba-8c44-20c8c1bc5876/e58b367b-7ce2-44fe-b338-30883a700f19/329c3677-887f-4de0-86bb-75b8daf9e5a2.png
arena1,1,7598,36,Level2,\left(9-8\right)+\left(7\cdot5\right)=36,bd838166-6ca9-4eba-8c44-20c8c1bc5876/e58b367b-7ce2-44fe-b338-30883a700f19/cfae5a87-3ff3-4256-ba3c-0de238a53bcc.png
arena1,1,7598,36,Level2,\left(5\cdot9\right)-\left(8-7\right)=30,bd838166-6ca9-4eba-8c44-20c8c1bc5876/e58b367b-7ce2-44fe-b338-30883a700f19/c13ea053-a99a-485a-b984-804cc1c16ac5.png
arena1,1,7598,36,Level2,\left(8\cdot5\right)-\left(7-\sqrt9\right)=36,bd838166-6ca9-4eba-8c44-20c8c1bc5876/e58b367b-7ce2-44fe-b338-30883a700f19/8c2531e5-cffc-4e0c-aa90-35c44c04a12f.png
